"","mix_name","mean_weight"
"X138","X138",0.000470249564657394
"X48","X48",0.000445132094905822
"X282","X282",0.000437122107982069
"X183","X183",0.000428586271980152
"X191","X191",0.000424029384322188
"X129","X129",0.000421986099962202
"X236","X236",0.000416725975633119
"X177","X177",0.00041623000667374
"X222","X222",0.00040194879783315
"X230","X230",0.000396750732631705
"X112","X112",0.00039169232423556
"X139","X139",0.000379587981192192
"X165","X165",0.000368962975962329
"X3","X3",0.00036468202018487
"X254","X254",0.000363208313374821
"X192","X192",0.000359863742132359
"X194","X194",0.000351339855573282
"X157","X157",0.000347761371955434
"X75","X75",0.000346757748698686
"X173","X173",0.000344922967425202
"X235","X235",0.000337316774677356
"X46","X46",0.00033630484958945
"X257","X257",0.000327872416173881
"X121","X121",0.000323368413276106
"X15","X15",0.000309664262949404
"X260","X260",0.000298957273475482
"X220","X220",0.000296835017140886
"X250","X250",0.000296013650379004
"X83","X83",0.000295927556945177
"X169","X169",0.000293123864486174
"X74","X74",0.000288892257930697
"X73","X73",0.000286574894262425
"X45","X45",0.000285902058999665
"X264","X264",0.000275303389206225
"X193","X193",0.000271756352430356
"X136","X136",0.000270908381232137
"X227","X227",0.000267803838962994
"X206","X206",0.000248995572526845
"X137","X137",0.000246298562725494
"X101","X101",0.000245169931700842
"X47","X47",0.000242185443352196
"X162","X162",0.000238639787555143
"X62","X62",0.000236551834561703
"X34","X34",0.000235494837923838
"X186","X186",0.000234570501922521
"X140","X140",0.000229534539113545
"X59","X59",0.000228436018388434
"X171","X171",0.000219733991016162
"X120","X120",0.000215583317729889
"X189","X189",0.00021343899428337
"X118","X118",0.000208997984782671
"X122","X122",0.000207568571544003
"X273","X273",0.000206137040957043
"X203","X203",0.000205153546633882
"X26","X26",0.000204154461530435
"X152","X152",0.000202747848062096
"X89","X89",0.000202176852294815
"X36","X36",0.000201179763242314
"X175","X175",0.000200891010176116
"X255","X255",0.000197097791724908
"X167","X167",0.000189304931951267
"X277","X277",0.000184825739384076
"X283","X283",0.000176282293559567
"X17","X17",0.000175921364057363
"X270","X270",0.000160256425439753
"X188","X188",0.000159749048031318
"X154","X154",0.000156111380582273
"X280","X280",0.000150834515182828
"X229","X229",0.000150301559712861
"X56","X56",0.00014804674468549
"X231","X231",0.000139711339480781
"X211","X211",0.000136148006382315
"X85","X85",0.000134098805988818
"X54","X54",0.000131252878685454
"X196","X196",0.000123806564466458
"X271","X271",0.000122002840109604
"X76","X76",0.000120878491675651
"X218","X218",0.000120106176858963
"X215","X215",0.000119777523381378
"X197","X197",0.000116584390874672
"X228","X228",0.000116243634321264
"X216","X216",0.000110604309938959
"X221","X221",0.000105578913905348
"X131","X131",9.88772907129466e-05
"X91","X91",9.17743795333716e-05
"X161","X161",8.70442774363614e-05
"X103","X103",8.04618435721409e-05
